"playerID","award","year","lgId"
"thompti012","All-Star Game Most Valuable Player",1,"WNBA"
"leslili012","All-Star Game Most Valuable Player",2,"WNBA"
"leslili012","All-Star Game Most Valuable Player",3,"WNBA"
"teaslni012","All-Star Game Most Valuable Player",4,"WNBA"
"swoopsh012","All-Star Game Most Valuable Player",6,"WNBA"
"douglka012","All-Star Game Most Valuable Player",7,"WNBA"
"fordch012","All-Star Game Most Valuable Player",8,"WNBA"
"cashsw012","All-Star Game Most Valuable Player",10,"WNBA"
"coopemi012","Coach of the Year",1,"WNBA"
"hugheda992","Coach of the Year",2,"WNBA"
"stanlma992","Coach of the Year",3,"WNBA"
"laimbbi012","Coach of the Year",4,"WNBA"
"mcconsu012","Coach of the Year",5,"WNBA"
"whisejo992","Coach of the Year",6,"WNBA"
"thibami992","Coach of the Year",7,"WNBA"
"hugheda992","Coach of the Year",8,"WNBA"
"thibami992","Coach of the Year",9,"WNBA"
"meadoma992","Coach of the Year",10,"WNBA"
"swoopsh012","Defensive Player of the Year",1,"WNBA"
"blackde012","Defensive Player of the Year",2,"WNBA"
"swoopsh012","Defensive Player of the Year",3,"WNBA"
"swoopsh012","Defensive Player of the Year",4,"WNBA"
"leslili012","Defensive Player of the Year",5,"WNBA"
"catchta012","Defensive Player of the Year",6,"WNBA"
"catchta012","Defensive Player of the Year",7,"WNBA"
"jacksla012","Defensive Player of the Year",8,"WNBA"
"leslili012","Defensive Player of the Year",9,"WNBA"
"catchta012","Defensive Player of the Year",10,"WNBA"
"lawsoka012","Kim Perrot Sportsmanship",10,"WNBA"
"mcconsu012","Kim Perrot Sportsmanship Award",1,"WNBA"
"wickssu012","Kim Perrot Sportsmanship Award",2,"WNBA"
"gilloje012","Kim Perrot Sportsmanship Award",3,"WNBA"
"campbed012","Kim Perrot Sportsmanship Award",4,"WNBA"
"edwarte012","Kim Perrot Sportsmanship Award",5,"WNBA"
"mcwilta012","Kim Perrot Sportsmanship Award",6,"WNBA"
"staleda012","Kim Perrot Sportsmanship Award",7,"WNBA"
"beviltu012","Kim Perrot Sportsmanship Award",8,"WNBA"
"johnsvi012","Kim Perrot Sportsmanship Award",9,"WNBA"
"phillta012","Most Improved Player",1,"WNBA"
"arcaija012","Most Improved Player",2,"WNBA"
"milleco012","Most Improved Player",3,"WNBA"
"snowmi012","Most Improved Player",4,"WNBA"
"milleke012","Most Improved Player",5,"WNBA"
"palmewe012","Most Improved Player",5,"WNBA"
"mccarja012","Most Improved Player",8,"WNBA"
"hoffmeb012","Most Improved Player",9,"WNBA"
"langhcr012","Most Improved Player",10,"WNBA"
"swoopsh012","Most Valuable Player",1,"WNBA"
"leslili012","Most Valuable Player",2,"WNBA"
"swoopsh012","Most Valuable Player",3,"WNBA"
"jacksla012","Most Valuable Player",4,"WNBA"
"leslili012","Most Valuable Player",5,"WNBA"
"swoopsh012","Most Valuable Player",6,"WNBA"
"leslili012","Most Valuable Player",7,"WNBA"
"jacksla012","Most Valuable Player",8,"WNBA"
"parkeca012","Most Valuable Player",9,"WNBA"
"tauradi012","Most Valuable Player",10,"WNBA"
"lennobe012","Rookie of the Year",1,"WNBA"
"stileja012","Rookie of the Year",2,"WNBA"
"catchta012","Rookie of the Year",3,"WNBA"
"fordch012","Rookie of the Year",4,"WNBA"
"tauradi012","Rookie of the Year",5,"WNBA"
"johnste012","Rookie of the Year",6,"WNBA"
"augusse012","Rookie of the Year",7,"WNBA"
"pricear012","Rookie of the Year",8,"WNBA"
"parkeca012","Rookie of the Year",9,"WNBA"
"mccouan012","Rookie of the Year",10,"WNBA"
"pierspl012","Sixth Woman of the Year",8,"WNBA"
"wiggica012","Sixth Woman of the Year",9,"WNBA"
"bonnede012","Sixth Woman of the Year",10,"WNBA"
"coopecy012","WNBA Finals Most Valuable Player",1,"WNBA"
"leslili012","WNBA Finals Most Valuable Player",2,"WNBA"
"leslili012","WNBA Finals Most Valuable Player",3,"WNBA"
"rileyru012","WNBA Finals Most Valuable Player",4,"WNBA"
"lennobe012","WNBA Finals Most Valuable Player",5,"WNBA"
"griffyo012","WNBA Finals Most Valuable Player",6,"WNBA"
"nolande012","WNBA Finals Most Valuable Player",7,"WNBA"
"pondeca012","WNBA Finals Most Valuable Player",8,"WNBA"
"smithka012","WNBA Finals Most Valuable Player",9,"WNBA"
"tauradi012","WNBA Finals Most Valuable Player",10,"WNBA"
"birdsu012","WNBA All-Decade Team",7,"WNBA"
"catchta012","WNBA All-Decade Team",7,"WNBA"
"coopecy012","WNBA All-Decade Team",7,"WNBA"
"griffyo012","WNBA All-Decade Team",7,"WNBA"
"jacksla012","WNBA All-Decade Team",7,"WNBA"
"leslili012","WNBA All-Decade Team",7,"WNBA"
"smithka012","WNBA All-Decade Team",7,"WNBA"
"staleda012","WNBA All-Decade Team",7,"WNBA"
"swoopsh012","WNBA All-Decade Team",7,"WNBA"
"thompti012","WNBA All-Decade Team",7,"WNBA"
"boltoru012","WNBA All Decade Team Honorable Mention",7,"WNBA"
"holdsch012","WNBA All Decade Team Honorable Mention",7,"WNBA"
"penicti012","WNBA All Decade Team Honorable Mention",7,"WNBA"
"tauradi012","WNBA All Decade Team Honorable Mention",7,"WNBA"
"weathte012","WNBA All Decade Team Honorable Mention",7,"WNBA"
