year,tmID,totalPoints,cumulativePoints,totalMinutes
1,ATL,0,0,0
2,ATL,0,0,0
3,ATL,0,0,0
4,ATL,0,0,0
5,ATL,0,0,0
6,ATL,0,0,0
7,ATL,0,0,0
8,ATL,0,0,0
9,ATL,2314,2314,6364
10,ATL,2861,5175,6951
1,CHA,2186,2186,6475
2,CHA,2055,4241,6500
3,CHA,2146,6387,6058
4,CHA,2208,8595,6806
5,CHA,2092,10687,6900
6,CHA,2095,12782,6945
7,CHA,2456,15238,6825
8,CHA,0,15238,0
9,CHA,0,15238,0
10,CHA,0,15238,0
1,CHI,0,0,0
2,CHI,0,0,0
3,CHI,0,0,0
4,CHI,0,0,0
5,CHI,0,0,0
6,CHI,0,0,0
7,CHI,2322,2322,6800
8,CHI,2525,4847,6975
9,CHI,2472,7319,6875
10,CHI,2513,9832,6674
1,CLE,2185,2185,6500
2,CLE,2004,4189,6425
3,CLE,2071,6260,6550
4,CLE,2229,8489,6825
5,CLE,0,8489,0
6,CLE,0,8489,0
7,CLE,0,8489,0
8,CLE,0,8489,0
9,CLE,0,8489,0
10,CLE,0,8489,0
1,CON,0,0,0
2,CON,0,0,0
3,CON,0,0,0
4,CON,2384,2384,6875
5,CON,2335,4719,6900
6,CON,2474,7193,6800
7,CON,2683,9876,6827
8,CON,2675,12551,6924
9,CON,2606,15157,6477
10,CON,2651,17808,6976
1,DET,2331,2331,6425
2,DET,2103,4434,6550
3,DET,2114,6548,6450
4,DET,2553,9101,6900
5,DET,2366,11467,6850
6,DET,2247,13714,6925
7,DET,2527,16241,6825
8,DET,2520,18761,6402
9,DET,2672,21433,6875
10,DET,2652,24085,6976
1,HOU,2475,2475,6475
2,HOU,2047,4522,6450
3,HOU,2072,6594,6425
4,HOU,2244,8838,6825
5,HOU,2177,11015,6850
6,HOU,2309,13324,6875
7,HOU,2428,15752,6651
8,HOU,2488,18240,6698
9,HOU,2439,20679,6560
10,HOU,0,20679,0
1,IND,2213,2213,6425
2,IND,2153,4366,6475
3,IND,2097,6463,6425
4,IND,2337,8800,6875
5,IND,2198,10998,6850
6,IND,2170,13168,6925
7,IND,2435,15603,6850
8,IND,2480,18083,6874
9,IND,2473,20556,6952
10,IND,2606,23162,6924
1,LAS,2417,2417,6450
2,LAS,2441,4858,6475
3,LAS,2452,7310,6475
4,LAS,2499,9809,6900
5,LAS,2495,12304,6975
6,LAS,2326,14630,6800
7,LAS,2575,17205,6825
8,LAS,2533,19738,6900
9,LAS,2598,22336,7002
10,LAS,2533,24869,6925
1,MIA,1831,1831,6475
2,MIA,1957,3788,6575
3,MIA,2046,5834,6475
4,MIA,0,5834,0
5,MIA,0,5834,0
6,MIA,0,5834,0
7,MIA,0,5834,0
8,MIA,0,5834,0
9,MIA,0,5834,0
10,MIA,0,5834,0
1,MIN,2193,2193,6425
2,MIN,1894,4087,5750
3,MIN,1689,5776,5452
4,MIN,2077,7853,5729
5,MIN,1911,9764,5872
6,MIN,2014,11778,6092
7,MIN,2376,14154,6153
8,MIN,2520,16674,6377
9,MIN,2767,19441,6901
10,MIN,2731,22172,6874
1,NYL,2148,2148,6425
2,NYL,2162,4310,6400
3,NYL,2089,6399,6450
4,NYL,2243,8642,6850
5,NYL,2252,10894,6900
6,NYL,2316,13210,6925
7,NYL,2372,15582,6876
8,NYL,2413,17995,6851
9,NYL,2573,20568,6901
10,NYL,2512,23080,6902
1,ORL,2208,2208,6500
2,ORL,2140,4348,6450
3,ORL,2254,6602,6525
4,ORL,0,6602,0
5,ORL,0,6602,0
6,ORL,0,6602,0
7,ORL,0,6602,0
8,ORL,0,6602,0
9,ORL,0,6602,0
10,ORL,0,6602,0
1,PHO,2243,2243,6425
2,PHO,2064,4307,6450
3,PHO,2091,6398,6400
4,PHO,2097,8495,6925
5,PHO,2300,10795,6825
6,PHO,2361,13156,6800
7,PHO,2960,16116,6900
8,PHO,3025,19141,6849
9,PHO,3010,22151,6826
10,PHO,3156,25307,6900
1,POR,2155,2155,6525
2,POR,2088,4243,6525
3,POR,2195,6438,6475
4,POR,0,6438,0
5,POR,0,6438,0
6,POR,0,6438,0
7,POR,0,6438,0
8,POR,0,6438,0
9,POR,0,6438,0
10,POR,0,6438,0
1,SAC,2343,2343,6400
2,SAC,2294,4637,6525
3,SAC,2166,6803,6575
4,SAC,2299,9102,6825
5,SAC,2312,11414,6900
6,SAC,2253,13667,6591
7,SAC,2036,15703,5710
8,SAC,2331,18034,6425
9,SAC,2347,20381,6267
10,SAC,2385,22766,6216
1,SAS,0,0,0
2,SAS,0,0,0
3,SAS,0,0,0
4,SAS,2215,2215,6825
5,SAS,2191,4406,6875
6,SAS,1843,6249,6127
7,SAS,2032,8281,5620
8,SAS,2000,10281,5828
9,SAS,2302,12583,5944
10,SAS,2399,14982,6116
1,SEA,1822,1822,6475
2,SEA,1921,3743,6550
3,SEA,2188,5931,6450
4,SEA,2388,8319,6850
5,SEA,2437,10756,6825
6,SEA,2498,13254,6825
7,SEA,2644,15898,6800
8,SEA,2734,18632,6827
9,SEA,2493,21125,6799
10,SEA,2544,23669,7026
1,UTA,2413,2413,6400
2,UTA,2207,4620,6475
3,UTA,2418,7038,6450
4,UTA,0,7038,0
5,UTA,0,7038,0
6,UTA,0,7038,0
7,UTA,0,7038,0
8,UTA,0,7038,0
9,UTA,0,7038,0
10,UTA,0,7038,0
1,WAS,2176,2176,6400
2,WAS,1928,4104,6500
3,WAS,2135,6239,6450
4,WAS,2330,8569,6875
5,WAS,2325,10894,6850
6,WAS,2263,13157,6900
7,WAS,2747,15904,6850
8,WAS,2585,18489,6891
9,WAS,2368,20857,6825
10,WAS,2585,23442,6873
